Field	Type	Null	Key	Default	Extra
id	bigint unsigned	NO	PRI	NULL	auto_increment
quiz_id	bigint unsigned	NO		NULL	
text	text	NO		NULL	
type	enum('question audio','remplir le champ vide','carte flash','correspondance','choix multiples','rearrangement','vrai/faux','banque de mots')	NO		NULL	
explication	varchar(255)	YES		NULL	
points	varchar(255)	YES		NULL	
astuce	varchar(255)	YES		NULL	
media_url	varchar(255)	YES		NULL	
created_at	timestamp	YES		NULL	
updated_at	timestamp	YES		NULL	
flashcard_back	text	YES		NULL	
audio_url	varchar(255)	YES		NULL	
